Year,Year Code,Sex,Sex Code,Race,Race Code,MSA,Count,Population,Crude Rate,latitude,longitude,min_dist,min_dist_squared
1999.0,1999.0,0,F,Black or African American,2054-5,"Knoxville, TN",57.0,22394,254.5,35.9603948,-83.9210261,54.687029541638324,2990.671200088023
1999.0,1999.0,0,F,Black or African American,2054-5,"Lansing, MI",43.0,20769,207.0,42.7337712,-84.5553805,85.0928520512183,7240.793470210527
1999.0,1999.0,0,F,Black or African American,2054-5,"Las Vegas, NV",163.0,65929,247.2,36.1672559,-115.1485163,231.53728967287068,53609.51650905883
1999.0,1999.0,0,F,Black or African American,2054-5,"Los Angeles, CA",2131.0,568465,374.9,34.0536909,-118.242766,168.8988185566056,28526.810909817177
1999.0,1999.0,0,F,Black or African American,2054-5,"Louisville, KY",318.0,79719,398.9,38.2542376,-85.759407,190.60068489371875,36328.62108195467
1999.0,1999.0,0,F,Black or African American,2054-5,"Madison, WI",22.0,8877,247.8,43.074761,-89.3837613,69.25860729264454,4796.754684116756
1999.0,1999.0,0,F,Black or African American,2054-5,"Miami, FL",1405.0,520422,270.0,25.7741728,-80.19362,24.829306219918692,616.494447362493
1999.0,1999.0,0,F,Black or African American,2054-5,"Milwaukee, WI",356.0,130339,273.1,43.0349931,-87.922497,88.13883449490277,7768.454146119861
1999.0,1999.0,0,F,Black or African American,2054-5,"Nashville, TN",319.0,109752,290.7,36.1622296,-86.7743531,102.37932739978167,10481.526678831686
1999.0,1999.0,0,F,Black or African American,2054-5,"New Haven, CT",183.0,53750,340.5,41.298434349999994,-72.93102342707913,39.73055193722168,1578.5167572362698
1999.0,1999.0,0,F,Black or African American,2054-5,"New Orleans, LA",908.0,272666,333.0,29.9499323,-90.0701156,24.279049651110913,589.472251961109
1999.0,1999.0,0,F,Black or African American,2054-5,"New York, NY",7077.0,2048268,345.5,40.7127281,-74.0060152,38.59708050776335,1489.7346237227657
1999.0,1999.0,0,F,Black or African American,2054-5,"North Port, FL",89.0,19017,468.0,27.044224,-82.2359254,124.26668570057676,15442.209175005928
1999.0,1999.0,0,F,Black or African American,2054-5,"Oklahoma City, OK",170.0,62820,270.6,35.4729886,-97.5170536,215.9501129642143,46634.45128925692
1999.0,1999.0,0,F,Black or African American,2054-5,"Omaha, NE",77.0,32495,237.0,41.2587459,-95.9383758,63.7613796900004,4065.513539972396
1999.0,1999.0,0,F,Black or African American,2054-5,"Orlando, FL",348.0,123266,282.3,28.5421109,-81.3790304,107.47532857910214,11550.94625318597
1999.0,1999.0,0,F,Black or African American,2054-5,"Oxnard, CA",26.0,8815,295.0,34.1976308,-119.1803818,118.22415414984319,13976.950624445884
1999.0,1999.0,0,F,Black or African American,2054-5,"Philadelphia, PA",2625.0,632018,415.3,31.1610134,-85.1074299,4.284465259500574,18.35664255986732
1999.0,1999.0,0,F,Black or African American,2054-5,"Phoenix, AZ",126.0,63916,197.1,33.4484367,-112.0741417,45.705262924538346,2088.9710590011796
1999.0,1999.0,0,F,Black or African American,2054-5,"Pittsburgh, PA",460.0,106805,430.7,40.4518667,-79.9758666,26.800982031227296,718.2926378381684
1999.0,1999.0,0,F,Black or African American,2054-5,"Portland, OR",93.0,29144,319.1,45.5202471,-122.6741949,173.66839573204498,30160.711676142182
1999.0,1999.0,0,F,Black or African American,2054-5,"Poughkeepsie, NY",77.0,27145,283.7,41.7065539,-73.9283672,30.112131960785057,906.7404912237329
1999.0,1999.0,0,F,Black or African American,2054-5,"Providence, RI",86.0,39427,218.1,41.8239891,-71.4128343,43.842843035382515,1922.194885425189
1999.0,1999.0,0,F,Black or African American,2054-5,"Raleigh, NC",236.0,83971,281.0,35.7803977,-78.6390989,20.480597890571058,419.4548899552637
1999.0,1999.0,0,F,Black or African American,2054-5,"Richmond, VA",547.0,171224,319.5,49.1977086,-123.1912406,260.093163222126,67648.45355489149
1999.0,1999.0,0,F,Black or African American,2054-5,"Riverside, CA",348.0,137583,252.9,33.9533546,-117.3961623,215.42682866584755,46408.71850902444
1999.0,1999.0,0,F,Black or African American,2054-5,"Rochester, NY",148.0,61974,238.8,43.157285,-77.615214,17.513190241192053,306.71183242418454
1999.0,1999.0,0,F,Black or African American,2054-5,"Sacramento, CA",208.0,72574,286.6,38.5810606,-121.4938951,235.0279704239069,55238.14688158086
1999.0,1999.0,0,F,Black or African American,2054-5,"St. Louis, MO",1009.0,263321,383.2,38.6529545,-90.24111656024635,83.4303086369251,6960.61639925258
1999.0,1999.0,0,F,Black or African American,2054-5,"San Antonio, TX",173.0,58013,298.2,29.4246002,-98.4951405,154.21833047588038,23783.293454767856
1999.0,1999.0,0,F,Black or African American,2054-5,"San Diego, CA",224.0,87838,255.0,32.7174202,-117.1627728,253.83345074136867,64431.42071527083
1999.0,1999.0,0,F,Black or African American,2054-5,"San Francisco, CA",961.0,226750,423.8,37.7790262,-122.4199061,197.29211120005036,38924.177141773034
1999.0,1999.0,0,F,Black or African American,2054-5,"San Jose, CA",75.0,27183,275.9,37.3361905,-121.890583,157.4802436874725,24800.02715186572
1999.0,1999.0,0,F,Black or African American,2054-5,"Seattle, WA",231.0,84477,273.4,47.6038321,-122.3300624,161.6745526276697,26138.66096735714
1999.0,1999.0,0,F,Black or African American,2054-5,"Springfield, MA",67.0,25378,264.0,42.1018764,-72.5886727,58.78260336428516,3455.394458282869
1999.0,1999.0,0,F,Black or African American,2054-5,"Stockton, CA",62.0,20371,304.4,37.9577016,-121.2907796,190.9002683910276,36442.91247176637
1999.0,1999.0,0,F,Black or African American,2054-5,"Syracuse, NY",63.0,25354,248.5,43.0481221,-76.1474244,35.22329619653123,1240.6805949485713
1999.0,1999.0,0,F,Black or African American,2054-5,"Tampa, FL",415.0,132321,313.6,27.9477595,-82.458444,141.76780795227555,20098.11137159328
1999.0,1999.0,0,F,Black or African American,2054-5,"Toledo, OH",142.0,43944,323.1,41.6529143,-83.5378173,23.710505797468247,562.1880851717754
1999.0,1999.0,0,F,Black or African American,2054-5,"Tucson, AZ",38.0,14317,265.4,32.2228765,-110.9748477,136.0293213845618,18503.9762763444
1999.0,1999.0,0,F,Black or African American,2054-5,"Tulsa, OK",122.0,41925,291.0,36.1556805,-95.9929113,144.65711922586354,20925.6821427257
1999.0,1999.0,0,F,Black or African American,2054-5,"Virginia Beach, VA",848.0,270255,313.8,36.8529841,-75.9774183,45.35255023956336,2056.8538132321182
1999.0,1999.0,0,F,Black or African American,2054-5,"Washington, DC",2413.0,700230,344.6,38.8949924,-77.0365581,45.213610506695645,2044.2705750511789
1999.0,1999.0,0,F,Black or African American,2054-5,"Winston-Salem, NC",207.0,53561,386.5,36.0998131,-80.2440518,60.66347321397326,3680.056982382451
1999.0,1999.0,0,F,Black or African American,2054-5,"Worcester, MA",16.0,12532,127.7,42.2761217,-71.8058232,65.05189002828243,4231.748396251751
1999.0,1999.0,0,F,Black or African American,2054-5,"Youngstown, OH",137.0,35169,389.5,41.1035786,-80.6520161,35.152135950768674,1235.6726619013234
1999.0,1999.0,0,F,White,2106-3,"Akron, OH",1675.0,310511,539.4,41.083064,-81.518485,53.20122448098641,2830.370286276308
1999.0,1999.0,0,F,White,2106-3,"Albany, NY",2336.0,385947,605.3,42.6511674,-73.754968,95.82523144147008,9182.474980811307
1999.0,1999.0,0,F,White,2106-3,"Albuquerque, NM",1525.0,327459,465.7,35.0841034,-106.6509851,374.1813657852,140011.69450087764
1999.0,1999.0,0,F,White,2106-3,"Allentown, PA",2194.0,360451,608.7,40.651163100000005,-75.44225386838299,30.430929322774023,926.0414594476679
1999.0,1999.0,0,F,White,2106-3,"Atlanta, GA",5870.0,1395375,420.7,33.7489924,-84.3902644,109.4418109172481,11977.509976846686
1999.0,1999.0,0,F,White,2106-3,"Augusta, GA",753.0,159922,470.9,33.466667,-81.966667,25.259982057581386,638.0666935493335
1999.0,1999.0,0,F,White,2106-3,"Austin, TX",1862.0,515261,361.4,30.2711286,-97.7436995,139.6890797445937,19513.038999891458
1999.0,1999.0,0,F,White,2106-3,"Bakersfield, CA",1079.0,278932,386.8,35.3738712,-119.0194639,104.37520431229672,10894.183275233683
1999.0,1999.0,0,F,White,2106-3,"Baltimore, MD",5051.0,895638,564.0,39.2908816,-76.610759,37.100850430701676,1376.4731026812967
1999.0,1999.0,0,F,White,2106-3,"Baton Rouge, LA",1109.0,235193,471.5,30.4459596,-91.18738,23.11027697264385,534.0849017523126
1999.0,1999.0,0,F,White,2106-3,"Birmingham, AL",1734.0,348648,497.3,33.543682,-86.779633,82.31908504430314,6776.431762531212
1999.0,1999.0,0,F,White,2106-3,"Boston, MA",11843.0,1979634,598.2,42.3602534,-71.0582912,37.87655605386706,1434.6334985017336
1999.0,1999.0,0,F,White,2106-3,"Bridgeport, CT",2365.0,384982,614.3,41.184722300000004,-73.18672053183846,40.339018005061206,1627.2363736126522
1999.0,1999.0,0,F,White,2106-3,"Buffalo, NY",3335.0,522104,638.8,42.8867166,-78.8783922,83.82720489590513,7027.0002806600605
1999.0,1999.0,0,F,White,2106-3,"Charleston, SC",934.0,181811,513.7,32.7876012,-79.9402728,108.64669628881875,11804.104614474822
1999.0,1999.0,0,F,White,2106-3,"Charlotte, NC",2932.0,659615,444.5,35.2272086,-80.8430827,15.39494264461746,237.00425903106125
1999.0,1999.0,0,F,White,2106-3,"Chicago, IL",17160.0,3461071,495.8,41.8755616,-87.6244212,47.33043305694507,2240.1698933579587
1999.0,1999.0,0,F,White,2106-3,"Cincinnati, OH",4536.0,891092,509.0,39.1014537,-84.5124602,187.90471854479506,35308.18325139865
1999.0,1999.0,0,F,White,2106-3,"Cleveland, OH",5274.0,871094,605.4,41.5051613,-81.6934446,34.997092576752394,1224.7964888257775
1999.0,1999.0,0,F,White,2106-3,"Colorado Springs, CO",1031.0,232338,443.8,38.8339578,-104.8253485,496.4189467358244,246431.77067830527
1999.0,1999.0,0,F,White,2106-3,"Columbia, SC",999.0,211955,471.3,34.0007493,-81.0343313,26.073875998419744,679.8470095809693
1999.0,1999.0,0,F,White,2106-3,"Columbus, OH",3392.0,710914,477.1,39.9622601,-83.0007065,112.87024431497626,12739.692051722432
1999.0,1999.0,0,F,White,2106-3,"Dallas, TX",7926.0,2032494,390.0,32.7762719,-96.7968559,66.44101617928104,4414.408630935484
1999.0,1999.0,0,F,White,2106-3,"Dayton, OH",1735.0,342744,506.2,39.7589478,-84.1916069,139.47089122163476,19452.129498157075
1999.0,1999.0,0,F,White,2106-3,"Des Moines, IA",1195.0,246851,484.1,41.5910323,-93.6046655,100.61619610236404,10123.618918109378
1999.0,1999.0,0,F,White,2106-3,"Detroit, MI",9740.0,1665334,584.9,42.3315509,-83.0466403,27.65249980692408,764.6607455719363
1999.0,1999.0,0,F,White,2106-3,"El Paso, TX",1114.0,332236,335.3,31.7754152,-106.464634,389.3277594190576,151576.1042542636
1999.0,1999.0,0,F,White,2106-3,"Fresno, CA",1387.0,325464,426.2,36.7295295,-119.70886126075588,122.81500552879679,15083.525583038387
1999.0,1999.0,0,F,White,2106-3,"Grand Rapids, MI",1836.0,424751,432.3,42.9632405,-85.6678639,55.12852433526682,3039.1541953841056
1999.0,1999.0,0,F,White,2106-3,"Greensboro, NC",1275.0,242367,526.1,36.0726355,-79.7919754,55.864498951912374,3120.8422431482186
1999.0,1999.0,0,F,White,2106-3,"Greenville, SC",1381.0,297981,463.5,34.851354,-82.3984882,28.70385117578232,823.91107232146
1999.0,1999.0,0,F,White,2106-3,"Harrisburg, PA",1239.0,231297,535.7,33.5923259,-86.2894222,90.17996748487641,8132.426535573367
1999.0,1999.0,0,F,White,2106-3,"Hartford, CT",3163.0,509718,620.5,41.7655582,-72.69061276146614,41.479244242292374,1720.527702911745
1999.0,1999.0,0,F,White,2106-3,"Houston, TX",6969.0,1761259,395.7,29.7589382,-95.3676974,78.07337317313463,6095.451598631537
1999.0,1999.0,0,F,White,2106-3,"Indianapolis, IN",3469.0,705074,492.0,39.79140615,-86.19498293723234,142.494898034541,20304.795965874237
1999.0,1999.0,0,F,White,2106-3,"Jacksonville, FL",2305.0,422754,545.2,30.3321838,-81.655651,117.67762781492388,13848.024088147746
